id,image_path,filename,model_predicted_class,top2_class,entropy,confidence,margin
3329,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_71cb65.jpg,pool_71cb65.jpg,buildings,street,1.3654,0.3725,0.0849
4205,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_974af1.jpg,pool_974af1.jpg,buildings,forest,1.3633,0.4008,0.1219
4376,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_9f0977.jpg,pool_9f0977.jpg,buildings,street,1.363,0.5301,0.3366
3499,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_7924c5.jpg,pool_7924c5.jpg,buildings,mountain,1.3578,0.5195,0.3202
2936,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_61e7b9.jpg,pool_61e7b9.jpg,buildings,sea,1.3571,0.4146,0.0545
2684,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_57ca1a.jpg,pool_57ca1a.jpg,buildings,street,1.3557,0.5002,0.2787
3215,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_6cce25.jpg,pool_6cce25.jpg,buildings,sea,1.3543,0.5182,0.3078
1908,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_36f9a3.jpg,pool_36f9a3.jpg,buildings,street,1.3537,0.531,0.3567
5862,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_dff507.jpg,pool_dff507.jpg,buildings,sea,1.3531,0.4039,0.0251
5362,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_c99282.jpg,pool_c99282.jpg,buildings,street,1.3474,0.3654,0.015
2858,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_5eb63d.jpg,pool_5eb63d.jpg,buildings,street,1.3451,0.5479,0.3774
1698,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_2f7ec2.jpg,pool_2f7ec2.jpg,buildings,street,1.3447,0.5695,0.4373
6155,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_ec79d9.jpg,pool_ec79d9.jpg,buildings,street,1.3443,0.4695,0.1844
5093,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_bd87f7.jpg,pool_bd87f7.jpg,buildings,sea,1.3402,0.5337,0.3248
4619,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_a94857.jpg,pool_a94857.jpg,buildings,street,1.3383,0.4466,0.1104
1715,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_303eed.jpg,pool_303eed.jpg,buildings,mountain,1.337,0.394,0.0123
4204,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_97437a.jpg,pool_97437a.jpg,buildings,sea,1.3328,0.5178,0.2647
1744,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_316146.jpg,pool_316146.jpg,buildings,mountain,1.3303,0.4524,0.1098
3260,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_6e98c4.jpg,pool_6e98c4.jpg,buildings,mountain,1.3301,0.4714,0.1841
3207,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_6c8d81.jpg,pool_6c8d81.jpg,buildings,street,1.3282,0.384,0.0762
4413,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_a0eb2f.jpg,pool_a0eb2f.jpg,buildings,sea,1.3282,0.4038,0.0339
743,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_06b206.jpg,pool_06b206.jpg,buildings,street,1.3256,0.4178,0.0942
5750,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_daa647.jpg,pool_daa647.jpg,buildings,street,1.3227,0.5445,0.3498
2741,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_5a2c1d.jpg,pool_5a2c1d.jpg,buildings,street,1.3225,0.4715,0.1655
2359,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_4a4678.jpg,pool_4a4678.jpg,buildings,sea,1.3215,0.5092,0.24
996,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_1164c1.jpg,pool_1164c1.jpg,buildings,glacier,1.3195,0.5726,0.4445
5723,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_d99a19.jpg,pool_d99a19.jpg,buildings,mountain,1.3194,0.4966,0.2007
6290,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_f2d020.jpg,pool_f2d020.jpg,buildings,street,1.3129,0.3976,0.0335
5764,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_db2a2d.jpg,pool_db2a2d.jpg,buildings,sea,1.3115,0.5511,0.3771
1782,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_329bc2.jpg,pool_329bc2.jpg,buildings,mountain,1.3112,0.5232,0.289
4283,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_9aad82.jpg,pool_9aad82.jpg,buildings,street,1.3016,0.4782,0.2049
3061,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_66cd36.jpg,pool_66cd36.jpg,buildings,street,1.2986,0.5161,0.2849
5047,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_bb0400.jpg,pool_bb0400.jpg,buildings,sea,1.2982,0.5363,0.3041
3366,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_73433f.jpg,pool_73433f.jpg,buildings,street,1.2931,0.45,0.0977
862,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0b803a.jpg,pool_0b803a.jpg,buildings,sea,1.2921,0.4975,0.2735
1508,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_2706b9.jpg,pool_2706b9.jpg,buildings,sea,1.2906,0.5597,0.3945
3202,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_6c503f.jpg,pool_6c503f.jpg,buildings,mountain,1.2898,0.5853,0.4513
2971,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_635c6b.jpg,pool_635c6b.jpg,buildings,street,1.2887,0.4816,0.1616
4628,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_a9865f.jpg,pool_a9865f.jpg,buildings,street,1.2885,0.5122,0.2347
3440,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_763699.jpg,pool_763699.jpg,buildings,street,1.2885,0.5616,0.3656
1617,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_2c5cd2.jpg,pool_2c5cd2.jpg,buildings,street,1.288,0.5317,0.2794
1095,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_14fcea.jpg,pool_14fcea.jpg,buildings,forest,1.2842,0.4657,0.1158
4604,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_a8ba5f.jpg,pool_a8ba5f.jpg,buildings,sea,1.2829,0.4315,0.0493
5721,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_d97a5c.jpg,pool_d97a5c.jpg,buildings,mountain,1.2821,0.5428,0.3012
4864,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_b38e68.jpg,pool_b38e68.jpg,buildings,street,1.2805,0.4309,0.051
2687,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_57d89a.jpg,pool_57d89a.jpg,buildings,street,1.2781,0.5082,0.2838
4173,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_95cd11.jpg,pool_95cd11.jpg,forest,buildings,1.6295,0.3292,0.1012
6064,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_e8d88f.jpg,pool_e8d88f.jpg,forest,street,1.6187,0.3225,0.0816
4349,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_9e0459.jpg,pool_9e0459.jpg,forest,sea,1.617,0.3044,0.0699
4849,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_b2b67b.jpg,pool_b2b67b.jpg,forest,buildings,1.5971,0.362,0.1362
5876,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_e0e34e.jpg,pool_e0e34e.jpg,forest,glacier,1.5683,0.3349,0.1012
1814,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_342cc7.jpg,pool_342cc7.jpg,forest,buildings,1.5396,0.3367,0.0688
6485,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_fb1b81.jpg,pool_fb1b81.jpg,forest,buildings,1.5367,0.3146,0.019
4068,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_91124e.jpg,pool_91124e.jpg,forest,sea,1.5351,0.3886,0.1377
4049,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_9032e1.jpg,pool_9032e1.jpg,forest,mountain,1.5314,0.3826,0.1443
4013,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_8eabc2.jpg,pool_8eabc2.jpg,forest,street,1.5149,0.2934,0.0466
4231,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_988779.jpg,pool_988779.jpg,forest,buildings,1.5018,0.4072,0.1687
2309,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_47d7ff.jpg,pool_47d7ff.jpg,forest,street,1.5002,0.3971,0.0968
2719,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_591c80.jpg,pool_591c80.jpg,forest,street,1.485,0.4445,0.2542
4683,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_ab45d0.jpg,pool_ab45d0.jpg,forest,glacier,1.4822,0.4379,0.1805
1995,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_3ab0c2.jpg,pool_3ab0c2.jpg,forest,buildings,1.4778,0.4403,0.2387
6504,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_fc29c1.jpg,pool_fc29c1.jpg,forest,buildings,1.4713,0.336,0.0331
5673,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_d736b2.jpg,pool_d736b2.jpg,forest,street,1.4579,0.3984,0.1484
4058,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_90998d.jpg,pool_90998d.jpg,forest,buildings,1.4441,0.4211,0.1419
5682,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_d775f9.jpg,pool_d775f9.jpg,forest,street,1.4398,0.4048,0.1448
2573,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_534bb4.jpg,pool_534bb4.jpg,forest,glacier,1.4208,0.486,0.2544
3098,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_686507.jpg,pool_686507.jpg,forest,buildings,1.3888,0.4994,0.2723
1191,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_199ed4.jpg,pool_199ed4.jpg,forest,street,1.3852,0.4205,0.1218
5880,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_e11e84.jpg,pool_e11e84.jpg,forest,buildings,1.3847,0.3533,0.0007
6529,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_fd4518.jpg,pool_fd4518.jpg,forest,street,1.3829,0.3326,0.0058
6416,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_f87c4d.jpg,pool_f87c4d.jpg,forest,mountain,1.3637,0.4159,0.1423
1843,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_34d136.jpg,pool_34d136.jpg,forest,buildings,1.3581,0.5078,0.3105
2685,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_57caca.jpg,pool_57caca.jpg,forest,buildings,1.3571,0.3863,0.1098
1588,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_2b00a5.jpg,pool_2b00a5.jpg,forest,street,1.3546,0.3539,0.0346
4399,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_a043ae.jpg,pool_a043ae.jpg,forest,mountain,1.3532,0.5562,0.4115
1009,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_11ead6.jpg,pool_11ead6.jpg,forest,buildings,1.3519,0.3751,0.0903
5629,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_d4f978.jpg,pool_d4f978.jpg,forest,buildings,1.3431,0.4376,0.1456
850,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0b2ac0.jpg,pool_0b2ac0.jpg,forest,street,1.3376,0.4692,0.1807
2838,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_5dfec2.jpg,pool_5dfec2.jpg,forest,buildings,1.3366,0.5027,0.2323
6020,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_e6db55.jpg,pool_e6db55.jpg,forest,street,1.3298,0.4494,0.1637
2786,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_5c0fda.jpg,pool_5c0fda.jpg,forest,street,1.3298,0.3881,0.1155
4287,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_9ad4ae.jpg,pool_9ad4ae.jpg,forest,street,1.3293,0.4422,0.1254
3342,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_7263de.jpg,pool_7263de.jpg,forest,buildings,1.3222,0.4415,0.0933
1141,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_1757c5.jpg,pool_1757c5.jpg,forest,street,1.3142,0.431,0.1161
3059,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_66bd28.jpg,pool_66bd28.jpg,forest,street,1.3126,0.4109,0.0278
1760,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_31ecff.jpg,pool_31ecff.jpg,forest,street,1.3108,0.4477,0.1167
5248,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_c464d5.jpg,pool_c464d5.jpg,forest,sea,1.3045,0.5375,0.301
1684,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_2ed199.jpg,pool_2ed199.jpg,forest,street,1.3008,0.4095,0.0603
2418,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_4c5193.jpg,pool_4c5193.jpg,forest,buildings,1.2922,0.5786,0.4208
2129,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_400b3b.jpg,pool_400b3b.jpg,forest,buildings,1.2919,0.3946,0.0303
1258,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_1c987d.jpg,pool_1c987d.jpg,forest,buildings,1.2904,0.5593,0.3879
3262,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_6ea31f.jpg,pool_6ea31f.jpg,forest,buildings,1.2877,0.4833,0.2512
1627,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_2ca502.jpg,pool_2ca502.jpg,forest,street,1.2866,0.4757,0.1438
2312,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_47fb3d.jpg,pool_47fb3d.jpg,forest,mountain,1.2837,0.5246,0.2759
3414,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_752c3b.jpg,pool_752c3b.jpg,forest,street,1.2835,0.4649,0.1436
2555,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_525d4f.jpg,pool_525d4f.jpg,forest,buildings,1.2829,0.4527,0.1049
5952,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_e41c66.jpg,pool_e41c66.jpg,forest,mountain,1.282,0.4205,0.0228
3493,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_78ea1b.jpg,pool_78ea1b.jpg,forest,street,1.2775,0.4382,0.0912
4798,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_b06e54.jpg,pool_b06e54.jpg,forest,buildings,1.2669,0.4663,0.1332
2282,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_46d028.jpg,pool_46d028.jpg,forest,buildings,1.2643,0.5013,0.2516
773,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_07b194.jpg,pool_07b194.jpg,forest,street,1.2626,0.4645,0.1041
2928,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_6193b5.jpg,pool_6193b5.jpg,forest,street,1.2585,0.5449,0.351
2026,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_3c5a64.jpg,pool_3c5a64.jpg,forest,buildings,1.2543,0.4379,0.0573
5087,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_bd3565.jpg,pool_bd3565.jpg,forest,buildings,1.2512,0.4181,0.0006
1101,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_1571df.jpg,pool_1571df.jpg,forest,street,1.249,0.5543,0.3314
5992,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_e596b3.jpg,pool_e596b3.jpg,forest,buildings,1.2477,0.4346,0.0594
3128,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_693e17.jpg,pool_693e17.jpg,forest,street,1.2379,0.5032,0.1819
6021,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_e6e39a.jpg,pool_e6e39a.jpg,forest,street,1.2276,0.5853,0.3929
5274,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_c5642b.jpg,pool_c5642b.jpg,forest,street,1.2076,0.4887,0.1583
6180,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_ed9c25.jpg,pool_ed9c25.jpg,forest,street,1.2049,0.5932,0.3801
889,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0c9cda.jpg,pool_0c9cda.jpg,forest,street,1.1927,0.4843,0.1221
1229,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_1b0284.jpg,pool_1b0284.jpg,forest,buildings,1.1897,0.5486,0.2671
4819,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_b139d2.jpg,pool_b139d2.jpg,forest,street,1.1881,0.5251,0.2021
5089,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_bd435d.jpg,pool_bd435d.jpg,forest,street,1.1853,0.5012,0.1535
4249,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_994969.jpg,pool_994969.jpg,forest,buildings,1.1846,0.5712,0.3636
1523,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_27a299.jpg,pool_27a299.jpg,forest,street,1.1784,0.4391,0.0175
1660,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_2debf3.jpg,pool_2debf3.jpg,forest,glacier,1.1751,0.4363,0.0156
1690,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_2f2568.jpg,pool_2f2568.jpg,forest,buildings,1.1727,0.5992,0.4163
4689,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_ab7169.jpg,pool_ab7169.jpg,forest,glacier,1.1726,0.5983,0.3674
5901,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_e222d7.jpg,pool_e222d7.jpg,forest,buildings,1.1711,0.5533,0.2727
3100,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_686bf2.jpg,pool_686bf2.jpg,forest,street,1.1673,0.4486,0.0391
5492,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_cf5284.jpg,pool_cf5284.jpg,forest,street,1.1672,0.5087,0.1629
646,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_021865.jpg,pool_021865.jpg,forest,buildings,1.1615,0.6187,0.4134
